Bias,Irradiance,Current (mA),Frequency,Re(Z),Im(Z)
0,88,6.90E-06,1.00E+06,5.46E+04,5.22E+04
0,88,6.93E-06,9.36E+05,5.61E+04,4.78E+04
0,88,7.14E-06,8.77E+05,6.04E+04,4.81E+04
0,88,7.17E-06,8.21E+05,6.83E+04,4.67E+04
0,88,7.04E-06,7.68E+05,6.49E+04,5.41E+04
0,88,7.02E-06,7.19E+05,6.14E+04,5.49E+04
0,88,6.82E-06,6.74E+05,6.59E+04,5.32E+04
0,88,7.10E-06,6.31E+05,6.79E+04,5.17E+04
0,88,7.14E-06,5.90E+05,7.15E+04,6.17E+04
0,88,6.98E-06,5.53E+05,7.30E+04,5.76E+04
0,88,7.42E-06,5.17E+05,7.84E+04,6.32E+04
0,88,7.25E-06,4.85E+05,7.61E+04,5.71E+04
0,88,7.41E-06,4.54E+05,7.75E+04,6.17E+04
0,88,7.00E-06,4.25E+05,7.74E+04,6.54E+04
0,88,7.19E-06,3.98E+05,8.35E+04,7.47E+04
0,88,6.99E-06,3.72E+05,8.28E+04,7.09E+04
0,88,7.18E-06,3.49E+05,9.26E+04,6.90E+04
0,88,7.07E-06,3.26E+05,8.84E+04,7.39E+04
0,88,7.30E-06,3.06E+05,9.22E+04,7.78E+04
0,88,7.30E-06,2.86E+05,1.00E+05,7.94E+04
0,88,7.33E-06,2.68E+05,1.01E+05,8.16E+04
0,88,7.16E-06,2.51E+05,1.00E+05,8.97E+04
0,88,7.39E-06,2.35E+05,1.01E+05,9.06E+04
0,88,7.18E-06,2.20E+05,1.08E+05,9.43E+04
0,88,7.45E-06,2.06E+05,1.11E+05,9.42E+04
0,88,7.74E-06,1.93E+05,1.16E+05,9.69E+04
0,88,7.45E-06,1.80E+05,1.14E+05,9.83E+04
0,88,7.73E-06,1.69E+05,1.18E+05,1.04E+05
0,88,7.40E-06,1.58E+05,1.27E+05,1.07E+05
0,88,7.42E-06,1.48E+05,1.29E+05,1.11E+05
0,88,7.38E-06,1.39E+05,1.31E+05,1.10E+05
0,88,7.45E-06,1.30E+05,1.34E+05,1.16E+05
0,88,7.48E-06,1.21E+05,1.41E+05,1.20E+05
0,88,7.39E-06,1.14E+05,1.43E+05,1.24E+05
0,88,7.76E-06,1.06E+05,1.53E+05,1.31E+05
0,88,7.31E-06,9.97E+04,1.53E+05,1.33E+05
0,88,7.63E-06,9.33E+04,1.55E+05,1.36E+05
0,88,7.77E-06,8.74E+04,1.66E+05,1.40E+05
0,88,7.67E-06,8.18E+04,1.70E+05,1.41E+05
0,88,7.50E-06,7.66E+04,1.74E+05,1.48E+05
0,88,7.77E-06,7.17E+04,1.75E+05,1.55E+05
0,88,7.97E-06,6.71E+04,1.85E+05,1.60E+05
0,88,7.48E-06,6.29E+04,1.86E+05,1.66E+05
0,88,8.04E-06,5.89E+04,1.95E+05,1.68E+05
0,88,7.69E-06,5.51E+04,2.03E+05,1.74E+05
0,88,7.75E-06,5.16E+04,2.06E+05,1.80E+05
0,88,7.60E-06,4.83E+04,2.17E+05,1.92E+05
0,88,7.67E-06,4.52E+04,2.27E+05,1.93E+05
0,88,1.06E-05,4.23E+04,2.31E+05,1.96E+05
0,88,1.06E-05,3.96E+04,2.38E+05,2.02E+05
0,88,1.06E-05,3.71E+04,2.46E+05,2.11E+05
0,88,1.06E-05,3.47E+04,2.49E+05,2.14E+05
0,88,1.06E-05,3.25E+04,2.58E+05,2.20E+05
0,88,1.06E-05,3.05E+04,2.73E+05,2.25E+05
0,88,1.06E-05,2.85E+04,2.81E+05,2.30E+05
0,88,1.06E-05,2.67E+04,2.84E+05,2.39E+05
0,88,1.06E-05,2.50E+04,2.99E+05,2.45E+05
0,88,1.06E-05,2.34E+04,3.10E+05,2.51E+05
0,88,1.07E-05,2.19E+04,3.15E+05,2.64E+05
0,88,1.07E-05,2.05E+04,3.26E+05,2.69E+05
0,88,1.07E-05,1.92E+04,3.36E+05,2.76E+05
0,88,1.07E-05,1.80E+04,3.49E+05,2.81E+05
0,88,1.08E-05,1.68E+04,3.71E+05,3.03E+05
0,88,1.08E-05,1.58E+04,3.69E+05,3.12E+05
0,88,1.08E-05,1.48E+04,3.81E+05,3.15E+05
0,88,1.08E-05,1.38E+04,4.10E+05,3.36E+05
0,88,1.08E-05,1.29E+04,4.17E+05,3.40E+05
0,88,1.07E-05,1.21E+04,4.29E+05,3.49E+05
0,88,1.07E-05,1.13E+04,4.50E+05,3.56E+05
0,88,1.07E-05,1.06E+04,4.63E+05,3.68E+05
0,88,1.07E-05,9.94E+03,4.77E+05,3.80E+05
0,88,1.07E-05,9.31E+03,4.78E+05,3.88E+05
0,88,1.07E-05,8.71E+03,4.97E+05,3.96E+05
0,88,1.08E-05,8.15E+03,5.12E+05,4.04E+05
0,88,1.08E-05,7.63E+03,5.51E+05,4.15E+05
0,88,1.07E-05,7.15E+03,5.66E+05,4.22E+05
0,88,1.08E-05,6.69E+03,5.82E+05,4.29E+05
0,88,1.08E-05,6.27E+03,6.08E+05,4.41E+05
0,88,1.08E-05,5.87E+03,6.28E+05,4.49E+05
0,88,1.09E-05,5.50E+03,6.49E+05,4.61E+05
0,88,1.08E-05,5.14E+03,6.74E+05,4.65E+05
0,88,1.09E-05,4.82E+03,6.93E+05,4.71E+05
0,88,1.09E-05,4.51E+03,7.15E+05,4.82E+05
0,88,1.08E-05,4.22E+03,7.43E+05,4.90E+05
0,88,1.09E-05,3.95E+03,7.68E+05,4.94E+05
0,88,1.09E-05,3.70E+03,7.91E+05,4.96E+05
0,88,1.09E-05,3.46E+03,8.13E+05,5.09E+05
0,88,1.09E-05,3.24E+03,8.36E+05,5.14E+05
0,88,1.08E-05,3.04E+03,8.64E+05,5.19E+05
0,88,1.09E-05,2.84E+03,8.92E+05,5.18E+05
0,88,1.09E-05,2.66E+03,9.21E+05,5.25E+05
0,88,1.08E-05,2.49E+03,9.43E+05,5.29E+05
0,88,1.09E-05,2.33E+03,9.71E+05,5.26E+05
0,88,1.08E-05,2.18E+03,9.99E+05,5.33E+05
0,88,1.08E-05,2.05E+03,1.02E+06,5.34E+05
0,88,1.08E-05,1.91E+03,1.05E+06,5.37E+05
0,88,1.09E-05,1.79E+03,1.08E+06,5.31E+05
0,88,1.08E-05,1.68E+03,1.11E+06,5.37E+05
0,88,1.08E-05,1.57E+03,1.13E+06,5.30E+05
0,88,1.08E-05,1.47E+03,1.16E+06,5.25E+05
0,88,1.08E-05,1.38E+03,1.18E+06,5.24E+05
0,88,1.08E-05,1.29E+03,1.20E+06,5.26E+05
0,88,1.08E-05,1.21E+03,1.23E+06,5.18E+05
0,88,1.09E-05,1.13E+03,1.26E+06,5.09E+05
0,88,1.08E-05,1.06E+03,1.28E+06,5.07E+05
0,88,1.08E-05,9.91E+02,1.31E+06,5.01E+05
0,88,1.08E-05,9.28E+02,1.33E+06,4.94E+05
0,88,1.08E-05,8.69E+02,1.35E+06,4.85E+05
0,88,1.08E-05,8.13E+02,1.38E+06,4.86E+05
0,88,1.08E-05,7.61E+02,1.40E+06,4.79E+05
0,88,1.08E-05,7.13E+02,1.42E+06,4.74E+05
0,88,1.08E-05,6.67E+02,1.44E+06,4.62E+05
0,88,1.09E-05,6.25E+02,1.46E+06,4.58E+05
0,88,1.08E-05,5.85E+02,1.48E+06,4.52E+05
0,88,1.08E-05,5.48E+02,1.50E+06,4.44E+05
0,88,1.08E-05,5.13E+02,1.52E+06,4.34E+05
0,88,1.08E-05,4.80E+02,1.53E+06,4.27E+05
0,88,1.08E-05,4.50E+02,1.55E+06,4.17E+05
0,88,1.08E-05,4.21E+02,1.57E+06,4.12E+05
0,88,1.08E-05,3.94E+02,1.58E+06,4.10E+05
0,88,1.08E-05,3.69E+02,1.60E+06,4.04E+05
0,88,1.08E-05,3.45E+02,1.62E+06,3.92E+05
0,88,1.08E-05,3.23E+02,1.63E+06,3.95E+05
0,88,1.08E-05,3.03E+02,1.65E+06,3.86E+05
0,88,1.08E-05,2.83E+02,1.66E+06,3.85E+05
0,88,1.08E-05,2.65E+02,1.68E+06,3.75E+05
0,88,1.08E-05,2.48E+02,1.69E+06,3.68E+05
0,88,1.07E-05,2.33E+02,1.71E+06,3.63E+05
0,88,1.07E-05,2.18E+02,1.72E+06,3.56E+05
0,88,1.07E-05,2.04E+02,1.74E+06,3.53E+05
0,88,1.07E-05,1.91E+02,1.75E+06,3.51E+05
0,88,1.07E-05,1.79E+02,1.76E+06,3.43E+05
0,88,1.07E-05,1.67E+02,1.78E+06,3.39E+05
0,88,1.07E-05,1.57E+02,1.79E+06,3.38E+05
0,88,1.07E-05,1.47E+02,1.80E+06,3.37E+05
0,88,1.07E-05,1.37E+02,1.81E+06,3.29E+05
0,88,1.07E-05,1.29E+02,1.83E+06,3.27E+05
0,88,1.07E-05,1.20E+02,1.84E+06,3.17E+05
0,88,1.07E-05,1.13E+02,1.85E+06,3.21E+05
0,88,1.07E-05,1.06E+02,1.86E+06,3.15E+05
0,88,1.07E-05,9.88E+01,1.88E+06,3.11E+05
0,88,1.07E-05,9.25E+01,1.88E+06,3.13E+05
0,88,1.07E-05,8.66E+01,1.89E+06,3.18E+05
0,88,1.07E-05,8.11E+01,1.91E+06,3.09E+05
0,88,1.07E-05,7.59E+01,1.92E+06,3.08E+05
0,88,1.07E-05,7.11E+01,1.93E+06,3.05E+05
0,88,1.07E-05,6.66E+01,1.95E+06,3.04E+05
0,88,1.07E-05,6.23E+01,1.96E+06,3.04E+05
0,88,1.06E-05,5.83E+01,1.97E+06,3.02E+05
0,88,1.06E-05,5.46E+01,1.98E+06,3.05E+05
0,88,1.06E-05,5.11E+01,1.96E+06,3.13E+05
0,88,1.06E-05,4.79E+01,1.99E+06,3.08E+05
0,88,1.06E-05,4.48E+01,2.01E+06,2.93E+05
0,88,1.06E-05,4.19E+01,2.03E+06,2.93E+05
0,88,1.06E-05,3.93E+01,2.04E+06,2.94E+05
0,88,1.07E-05,3.68E+01,2.05E+06,2.91E+05
0,88,1.06E-05,3.44E+01,2.06E+06,2.91E+05
0,88,1.06E-05,3.22E+01,2.08E+06,2.84E+05
0,88,1.06E-05,3.02E+01,2.09E+06,2.92E+05
0,88,1.06E-05,2.83E+01,2.11E+06,3.01E+05
0,88,1.06E-05,2.65E+01,2.12E+06,2.97E+05
0,88,1.06E-05,2.48E+01,2.13E+06,2.92E+05
0,88,1.06E-05,2.32E+01,2.13E+06,2.80E+05
0,88,1.06E-05,2.17E+01,2.15E+06,2.93E+05
0,88,1.06E-05,2.03E+01,2.16E+06,2.88E+05
0,88,1.06E-05,1.90E+01,2.17E+06,2.81E+05
0,88,1.06E-05,1.78E+01,2.19E+06,2.80E+05
0,88,1.06E-05,1.67E+01,2.20E+06,2.80E+05
0,88,1.05E-05,1.56E+01,2.22E+06,2.72E+05
0,88,1.05E-05,1.46E+01,2.23E+06,2.70E+05
0,88,1.05E-05,1.37E+01,2.24E+06,2.77E+05
0,88,1.05E-05,1.28E+01,2.25E+06,2.71E+05
0,88,1.06E-05,1.20E+01,2.26E+06,2.65E+05
0,88,1.06E-05,1.12E+01,2.27E+06,2.70E+05
0,88,1.06E-05,1.05E+01,2.28E+06,2.67E+05
0,88,1.06E-05,9.85E+00,2.29E+06,2.67E+05
0,88,1.06E-05,9.22E+00,2.30E+06,2.59E+05
0,88,1.05E-05,8.63E+00,2.31E+06,2.59E+05
0,88,1.05E-05,8.08E+00,2.32E+06,2.58E+05
0,88,1.05E-05,7.57E+00,2.34E+06,2.57E+05
0,88,1.05E-05,7.08E+00,2.34E+06,2.60E+05
0,88,1.05E-05,6.63E+00,2.35E+06,2.53E+05
0,88,1.05E-05,6.21E+00,2.36E+06,2.46E+05
0,88,1.06E-05,5.81E+00,2.37E+06,2.47E+05
0,88,1.05E-05,5.44E+00,2.38E+06,2.52E+05
0,88,1.05E-05,5.10E+00,2.38E+06,2.48E+05
0,88,1.05E-05,4.77E+00,2.40E+06,2.44E+05
0,88,1.04E-05,4.47E+00,2.41E+06,2.43E+05
0,88,1.05E-05,4.18E+00,2.42E+06,2.40E+05
0,88,1.04E-05,3.92E+00,2.43E+06,2.36E+05
0,88,1.05E-05,3.67E+00,2.44E+06,2.37E+05
0,88,1.04E-05,3.43E+00,2.45E+06,2.37E+05
0,88,1.04E-05,3.22E+00,2.46E+06,2.32E+05
0,88,1.04E-05,3.01E+00,2.46E+06,2.29E+05
0,88,1.04E-05,2.82E+00,2.47E+06,2.27E+05
0,88,1.04E-05,2.64E+00,2.49E+06,2.28E+05
0,88,1.04E-05,2.47E+00,2.49E+06,2.30E+05
0,88,1.04E-05,2.31E+00,2.50E+06,2.27E+05
0,88,1.04E-05,2.17E+00,2.51E+06,2.23E+05
0,88,1.03E-05,2.03E+00,2.52E+06,2.26E+05
0,88,1.04E-05,1.90E+00,2.53E+06,2.25E+05
0,88,1.03E-05,1.78E+00,2.53E+06,2.23E+05
0,88,1.03E-05,1.66E+00,2.54E+06,2.24E+05
0,88,1.03E-05,1.56E+00,2.55E+06,2.20E+05
0,88,1.03E-05,1.46E+00,2.55E+06,2.26E+05
0,88,1.02E-05,1.36E+00,2.56E+06,2.20E+05
0,88,1.02E-05,1.28E+00,2.57E+06,2.19E+05
0,88,1.02E-05,1.20E+00,2.58E+06,2.22E+05
0,88,1.01E-05,1.12E+00,2.58E+06,2.17E+05
0,88,1.01E-05,1.05E+00,2.59E+06,2.19E+05
0,88,1.01E-05,9.82E-01,2.59E+06,2.12E+05
0,88,1.01E-05,9.19E-01,2.60E+06,2.19E+05
0,88,1.01E-05,8.60E-01,2.61E+06,2.15E+05
0,88,1.00E-05,8.06E-01,2.61E+06,2.17E+05
0,88,1.00E-05,7.54E-01,2.62E+06,2.16E+05
0,88,9.98E-06,7.06E-01,2.63E+06,2.18E+05
0,88,9.91E-06,6.61E-01,2.64E+06,2.14E+05
0,88,9.83E-06,6.19E-01,2.64E+06,2.17E+05
0,88,9.84E-06,5.80E-01,2.65E+06,2.15E+05
0,88,9.76E-06,5.43E-01,2.65E+06,2.13E+05
0,88,9.72E-06,5.08E-01,2.66E+06,2.20E+05
0,88,9.67E-06,4.76E-01,2.66E+06,2.12E+05
0,88,9.61E-06,4.45E-01,2.67E+06,2.16E+05
0,88,9.54E-06,4.17E-01,2.67E+06,2.11E+05
0,88,9.49E-06,3.90E-01,2.67E+06,2.13E+05
0,88,9.43E-06,3.65E-01,2.68E+06,2.14E+05
0,88,9.39E-06,3.42E-01,2.68E+06,2.16E+05
0,88,9.34E-06,3.20E-01,2.68E+06,2.11E+05
0,88,9.27E-06,3.00E-01,2.68E+06,2.15E+05
0,250,2.37E-07,1.00E+06,3.61E+04,3.08E+04
0,250,6.42E-07,9.36E+05,3.57E+04,3.14E+04
0,250,1.10E-06,8.77E+05,3.51E+04,3.01E+04
0,250,1.93E-06,8.21E+05,3.56E+04,3.27E+04
0,250,2.63E-06,7.68E+05,3.58E+04,3.27E+04
0,250,3.10E-06,7.19E+05,3.89E+04,3.49E+04
0,250,3.46E-06,6.74E+05,3.88E+04,3.45E+04
0,250,3.56E-06,6.31E+05,3.73E+04,3.73E+04
0,250,4.39E-06,5.90E+05,3.78E+04,3.82E+04
0,250,4.49E-06,5.53E+05,3.99E+04,3.83E+04
0,250,5.29E-06,5.17E+05,4.10E+04,4.16E+04
0,250,5.55E-06,4.85E+05,4.13E+04,4.13E+04
0,250,6.01E-06,4.54E+05,4.37E+04,4.56E+04
0,250,6.03E-06,4.25E+05,4.51E+04,4.39E+04
0,250,5.93E-06,3.98E+05,4.50E+04,4.71E+04
0,250,6.59E-06,3.72E+05,4.94E+04,4.99E+04
0,250,6.78E-06,3.49E+05,5.03E+04,5.10E+04
0,250,7.17E-06,3.26E+05,4.88E+04,5.02E+04
0,250,7.61E-06,3.06E+05,5.02E+04,5.39E+04
0,250,7.79E-06,2.86E+05,5.41E+04,5.91E+04
0,250,7.66E-06,2.68E+05,5.55E+04,5.79E+04
0,250,7.92E-06,2.51E+05,5.45E+04,6.17E+04
0,250,8.46E-06,2.35E+05,5.68E+04,6.32E+04
0,250,8.56E-06,2.20E+05,6.03E+04,6.54E+04
0,250,8.83E-06,2.06E+05,6.35E+04,6.71E+04
0,250,8.79E-06,1.93E+05,6.32E+04,7.04E+04
0,250,8.90E-06,1.80E+05,6.64E+04,7.23E+04
0,250,9.30E-06,1.69E+05,6.86E+04,7.75E+04
0,250,9.62E-06,1.58E+05,6.95E+04,7.98E+04
0,250,9.62E-06,1.48E+05,7.24E+04,8.19E+04
0,250,9.78E-06,1.39E+05,7.61E+04,8.26E+04
0,250,9.97E-06,1.30E+05,7.97E+04,8.99E+04
0,250,1.05E-05,1.21E+05,8.25E+04,9.11E+04
0,250,1.03E-05,1.14E+05,8.46E+04,9.66E+04
0,250,1.05E-05,1.06E+05,8.62E+04,9.85E+04
0,250,1.04E-05,9.97E+04,9.18E+04,1.03E+05
0,250,1.07E-05,9.33E+04,9.36E+04,1.08E+05
0,250,1.08E-05,8.74E+04,9.88E+04,1.12E+05
0,250,1.11E-05,8.18E+04,1.02E+05,1.14E+05
0,250,1.12E-05,7.66E+04,1.06E+05,1.18E+05
0,250,1.14E-05,7.17E+04,1.09E+05,1.23E+05
0,250,1.14E-05,6.71E+04,1.15E+05,1.29E+05
0,250,1.16E-05,6.29E+04,1.18E+05,1.31E+05
0,250,1.17E-05,5.89E+04,1.22E+05,1.39E+05
0,250,1.18E-05,5.51E+04,1.26E+05,1.41E+05
0,250,1.18E-05,5.16E+04,1.34E+05,1.47E+05
0,250,1.20E-05,4.83E+04,1.39E+05,1.51E+05
0,250,1.18E-05,4.52E+04,1.49E+05,1.58E+05
0,250,1.21E-05,4.23E+04,1.54E+05,1.61E+05
0,250,1.21E-05,3.96E+04,1.58E+05,1.64E+05
0,250,1.22E-05,3.71E+04,1.65E+05,1.70E+05
0,250,1.25E-05,3.47E+04,1.72E+05,1.78E+05
0,250,1.24E-05,3.25E+04,1.76E+05,1.82E+05
0,250,1.22E-05,3.05E+04,1.87E+05,1.85E+05
0,250,1.26E-05,2.85E+04,1.89E+05,1.92E+05
0,250,1.27E-05,2.67E+04,2.01E+05,1.99E+05
0,250,1.26E-05,2.50E+04,2.13E+05,2.01E+05
0,250,1.27E-05,2.34E+04,2.16E+05,2.09E+05
0,250,1.27E-05,2.19E+04,2.25E+05,2.16E+05
0,250,1.28E-05,2.05E+04,2.33E+05,2.18E+05
0,250,1.29E-05,1.92E+04,2.42E+05,2.25E+05
0,250,1.32E-05,1.80E+04,2.52E+05,2.29E+05
0,250,1.29E-05,1.68E+04,2.63E+05,2.33E+05
0,250,1.32E-05,1.58E+04,2.73E+05,2.46E+05
0,250,1.33E-05,1.48E+04,2.79E+05,2.48E+05
0,250,1.29E-05,1.38E+04,2.90E+05,2.52E+05
0,250,1.34E-05,1.29E+04,3.03E+05,2.58E+05
0,250,1.34E-05,1.21E+04,3.12E+05,2.62E+05
0,250,1.32E-05,1.13E+04,3.24E+05,2.70E+05
0,250,1.61E-05,1.06E+04,3.43E+05,2.93E+05
0,250,1.61E-05,9.94E+03,3.57E+05,2.98E+05
0,250,1.62E-05,9.31E+03,3.59E+05,2.99E+05
0,250,1.63E-05,8.71E+03,3.74E+05,3.07E+05
0,250,1.64E-05,8.15E+03,3.90E+05,3.14E+05
0,250,1.64E-05,7.63E+03,4.14E+05,3.24E+05
0,250,1.64E-05,7.15E+03,4.26E+05,3.27E+05
0,250,1.64E-05,6.69E+03,4.43E+05,3.33E+05
0,250,1.65E-05,6.27E+03,4.59E+05,3.38E+05
0,250,1.66E-05,5.87E+03,4.73E+05,3.41E+05
0,250,1.67E-05,5.50E+03,4.92E+05,3.48E+05
0,250,1.67E-05,5.14E+03,5.08E+05,3.55E+05
0,250,1.68E-05,4.82E+03,5.23E+05,3.56E+05
0,250,1.68E-05,4.51E+03,5.44E+05,3.62E+05
0,250,1.68E-05,4.22E+03,5.60E+05,3.63E+05
0,250,1.67E-05,3.95E+03,5.75E+05,3.67E+05
0,250,1.69E-05,3.70E+03,5.91E+05,3.70E+05
0,250,1.70E-05,3.46E+03,6.11E+05,3.76E+05
0,250,1.71E-05,3.24E+03,6.28E+05,3.76E+05
0,250,1.70E-05,3.04E+03,6.44E+05,3.75E+05
0,250,1.71E-05,2.84E+03,6.61E+05,3.80E+05
0,250,1.72E-05,2.66E+03,6.79E+05,3.82E+05
0,250,1.73E-05,2.49E+03,6.97E+05,3.81E+05
0,250,1.73E-05,2.33E+03,7.15E+05,3.83E+05
0,250,1.73E-05,2.18E+03,7.32E+05,3.83E+05
0,250,1.73E-05,2.05E+03,7.50E+05,3.84E+05
0,250,1.74E-05,1.91E+03,7.68E+05,3.84E+05
0,250,1.74E-05,1.79E+03,7.84E+05,3.85E+05
0,250,1.75E-05,1.68E+03,8.03E+05,3.80E+05
0,250,1.75E-05,1.57E+03,8.18E+05,3.81E+05
0,250,1.77E-05,1.47E+03,8.34E+05,3.78E+05
0,250,1.75E-05,1.38E+03,8.53E+05,3.75E+05
0,250,1.75E-05,1.29E+03,8.63E+05,3.80E+05
0,250,1.76E-05,1.21E+03,8.81E+05,3.79E+05
0,250,1.76E-05,1.13E+03,9.00E+05,3.77E+05
0,250,1.76E-05,1.06E+03,9.16E+05,3.78E+05
0,250,1.76E-05,9.91E+02,9.32E+05,3.71E+05
0,250,1.77E-05,9.28E+02,9.49E+05,3.69E+05
0,250,1.76E-05,8.69E+02,9.67E+05,3.72E+05
0,250,1.78E-05,8.13E+02,9.77E+05,3.69E+05
0,250,1.78E-05,7.61E+02,9.94E+05,3.66E+05
0,250,1.79E-05,7.13E+02,1.01E+06,3.61E+05
0,250,1.79E-05,6.67E+02,1.03E+06,3.63E+05
0,250,1.79E-05,6.25E+02,1.04E+06,3.62E+05
0,250,1.78E-05,5.85E+02,1.05E+06,3.60E+05
0,250,1.79E-05,5.48E+02,1.07E+06,3.56E+05
0,250,1.79E-05,5.13E+02,1.08E+06,3.53E+05
0,250,1.79E-05,4.80E+02,1.10E+06,3.57E+05
0,250,1.79E-05,4.50E+02,1.12E+06,3.57E+05
0,250,1.80E-05,4.21E+02,1.13E+06,3.51E+05
0,250,1.79E-05,3.94E+02,1.14E+06,3.49E+05
0,250,1.80E-05,3.69E+02,1.16E+06,3.45E+05
0,250,1.80E-05,3.45E+02,1.17E+06,3.43E+05
0,250,1.80E-05,3.23E+02,1.18E+06,3.43E+05
0,250,1.80E-05,3.03E+02,1.20E+06,3.39E+05
0,250,1.80E-05,2.83E+02,1.22E+06,3.34E+05
0,250,1.80E-05,2.65E+02,1.23E+06,3.33E+05
0,250,1.80E-05,2.48E+02,1.24E+06,3.33E+05
0,250,1.80E-05,2.33E+02,1.25E+06,3.26E+05
0,250,1.81E-05,2.18E+02,1.27E+06,3.26E+05
0,250,1.81E-05,2.04E+02,1.28E+06,3.23E+05
0,250,1.80E-05,1.91E+02,1.29E+06,3.21E+05
0,250,1.81E-05,1.79E+02,1.30E+06,3.15E+05
0,250,1.81E-05,1.67E+02,1.32E+06,3.16E+05
0,250,1.81E-05,1.57E+02,1.33E+06,3.12E+05
0,250,1.81E-05,1.47E+02,1.34E+06,3.09E+05
0,250,1.82E-05,1.37E+02,1.35E+06,3.10E+05
0,250,1.81E-05,1.29E+02,1.36E+06,3.07E+05
0,250,1.81E-05,1.20E+02,1.38E+06,3.01E+05
0,250,1.81E-05,1.13E+02,1.39E+06,3.03E+05
0,250,1.82E-05,1.06E+02,1.40E+06,2.97E+05
0,250,1.81E-05,9.88E+01,1.41E+06,3.01E+05
0,250,1.82E-05,9.25E+01,1.42E+06,2.95E+05
0,250,1.81E-05,8.66E+01,1.44E+06,2.94E+05
0,250,1.82E-05,8.11E+01,1.45E+06,2.89E+05
0,250,1.82E-05,7.59E+01,1.46E+06,2.89E+05
0,250,1.82E-05,7.11E+01,1.46E+06,2.87E+05
0,250,1.81E-05,6.66E+01,1.48E+06,2.76E+05
0,250,1.82E-05,6.23E+01,1.48E+06,2.82E+05
0,250,1.82E-05,5.83E+01,1.49E+06,2.62E+05
0,250,1.82E-05,5.46E+01,1.52E+06,2.77E+05
0,250,1.82E-05,5.11E+01,1.53E+06,2.46E+05
0,250,1.82E-05,4.79E+01,1.57E+06,2.24E+05
0,250,1.82E-05,4.48E+01,1.55E+06,2.80E+05
0,250,1.82E-05,4.19E+01,1.57E+06,2.40E+05
0,250,1.82E-05,3.93E+01,1.55E+06,2.63E+05
0,250,1.82E-05,3.68E+01,1.58E+06,2.64E+05
0,250,1.82E-05,3.44E+01,1.59E+06,2.64E+05
0,250,1.82E-05,3.22E+01,1.60E+06,2.58E+05
0,250,1.82E-05,3.02E+01,1.61E+06,2.57E+05
0,250,1.82E-05,2.83E+01,1.62E+06,2.42E+05
0,250,1.83E-05,2.65E+01,1.63E+06,2.55E+05
0,250,1.83E-05,2.48E+01,1.63E+06,2.47E+05
0,250,1.82E-05,2.32E+01,1.64E+06,2.39E+05
0,250,1.83E-05,2.17E+01,1.67E+06,2.47E+05
0,250,1.82E-05,2.03E+01,1.67E+06,2.40E+05
0,250,1.81E-05,1.90E+01,1.68E+06,2.32E+05
0,250,1.82E-05,1.78E+01,1.69E+06,2.30E+05
0,250,1.82E-05,1.67E+01,1.70E+06,2.30E+05
0,250,1.82E-05,1.56E+01,1.69E+06,2.25E+05
0,250,1.83E-05,1.46E+01,1.70E+06,2.23E+05
0,250,1.82E-05,1.37E+01,1.72E+06,2.19E+05
0,250,1.83E-05,1.28E+01,1.72E+06,2.10E+05
0,250,1.83E-05,1.20E+01,1.73E+06,2.17E+05
0,250,1.82E-05,1.12E+01,1.74E+06,2.12E+05
0,250,1.82E-05,1.05E+01,1.74E+06,2.00E+05
0,250,1.82E-05,9.85E+00,1.75E+06,1.97E+05
0,250,1.82E-05,9.22E+00,1.76E+06,1.97E+05
0,250,1.82E-05,8.63E+00,1.77E+06,1.96E+05
0,250,1.82E-05,8.08E+00,1.78E+06,1.95E+05
0,250,1.82E-05,7.57E+00,1.78E+06,1.89E+05
0,250,1.83E-05,7.08E+00,1.79E+06,1.82E+05
0,250,1.83E-05,6.63E+00,1.79E+06,1.84E+05
0,250,1.83E-05,6.21E+00,1.80E+06,1.77E+05
0,250,1.83E-05,5.81E+00,1.80E+06,1.77E+05
0,250,1.83E-05,5.44E+00,1.81E+06,1.75E+05
0,250,1.82E-05,5.10E+00,1.81E+06,1.69E+05
0,250,1.83E-05,4.77E+00,1.82E+06,1.69E+05
0,250,1.82E-05,4.47E+00,1.82E+06,1.65E+05
0,250,1.83E-05,4.18E+00,1.82E+06,1.65E+05
0,250,1.82E-05,3.92E+00,1.83E+06,1.61E+05
0,250,1.83E-05,3.67E+00,1.83E+06,1.58E+05
0,250,1.83E-05,3.43E+00,1.83E+06,1.60E+05
0,250,1.83E-05,3.22E+00,1.83E+06,1.59E+05
0,250,1.83E-05,3.01E+00,1.84E+06,1.58E+05
0,250,1.83E-05,2.82E+00,1.84E+06,1.54E+05
0,250,1.82E-05,2.64E+00,1.85E+06,1.53E+05
0,250,1.82E-05,2.47E+00,1.85E+06,1.53E+05
0,250,1.82E-05,2.31E+00,1.85E+06,1.50E+05
0,250,1.82E-05,2.17E+00,1.85E+06,1.48E+05
0,250,1.82E-05,2.03E+00,1.86E+06,1.52E+05
0,250,1.82E-05,1.90E+00,1.86E+06,1.47E+05
0,250,1.82E-05,1.78E+00,1.86E+06,1.47E+05
0,250,1.81E-05,1.66E+00,1.86E+06,1.50E+05
0,250,1.81E-05,1.56E+00,1.85E+06,1.44E+05
0,250,1.81E-05,1.46E+00,1.85E+06,1.47E+05
0,250,1.81E-05,1.36E+00,1.85E+06,1.45E+05
0,250,1.81E-05,1.28E+00,1.85E+06,1.45E+05
